2026-04-27 09:36:03.1501 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\archive-202604270927.log" | Parameter '@ActionParameter0' must be defined. To use this as a variable, set 'Allow User Variables=true' in the connection string. 
2026-04-27 09:44:45.5390 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | Parameter '@ActionParameter0' must be defined. To use this as a variable, set 'Allow User Variables=true' in the connection string. 
2026-04-27 09:46:08.1000 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | Parameter '@ActionParameter0' must be defined. To use this as a variable, set 'Allow User Variables=true' in the connection string. 
2026-04-27 10:01:15.9780 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | Parameter '@ActionParameter0' must be defined. To use this as a variable, set 'Allow User Variables=true' in the connection string. 
2026-04-27 10:02:17.8263 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | Parameter '@ActionParameter0' must be defined. To use this as a variable, set 'Allow User Variables=true' in the connection string. 
2026-04-27 10:08:59.5800 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | Parameter '@ActionParameter0' must be defined. To use this as a variable, set 'Allow User Variables=true' in the connection string. 
2026-04-27 10:10:43.4652 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '(timestamp('2026-04-27 07:27:19.735879'), 1, '{"ActionType":5,"Details":"tel:...' at line 1 
2026-04-27 10:12:12.6187 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '(timestamp('2026-04-27 07:27:19.735879'), 1, '{"ActionType":5,"Details":"tel:...' at line 1 
2026-04-27 10:17:00.4374 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '(timestamp('2026-04-27 07:27:19.735879'), 1, '{"ActionType":5,"Details":"tel:...' at line 1 
2026-04-27 10:32:47.3077 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '(timestamp('2026-04-27 07:27:19.735879'), 1, '{"ActionType":5,"Details":"tel:...' at line 1 
2026-04-27 10:35:50.3227 | ERROR | Message_Parser.Program | Erreur lors du traitement du fichier "C:\Users\gille\Desktop\Stage Webulous\Immo-Analytics\Webulous.Tracking\Logs\tracking-202604270927.log" | You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '(timestamp('2026-04-27 07:27:19.735879'), 1, '{"ActionType":5,"Details":"tel:...' at line 1 
